NAMA,LATITUDE,LONGITUDE,KETERANGAN,ALAMAT,TELEFON,FAX,EMAIL,WEBSITE,FACEBOOK,LINKEDIN,TWITTER,BLOGSPOT,FLICKR,RSS,YOUTUBE
"Majlis Perbandaran Tawau, Sabah",4.282457,117.91478699999993,"Majlis Perbandaran Tawau, Sabah","Majlis Perbandaran Tawau, Peti Surat 412, 91007 Tawau Sabah, Malaysia","089-701698,699",089-701604,Ismail.Mayakob@sabah.gov.my,http://www.mpt.sabah.gov.my/,,,,,,,
Majlis Perbandaran Teluk Intan,4.022247,101.02529,Majlis Perbandaran Teluk Intan,"Jalan Speedy, 36000 Teluk Intan ,Perak",05 - 6215504,05-6212446,"mpti@streamyx.com.my ,syima@mpti.gov.my",http://www.mpti.gov.my/,,,,,,,
Majlis Perbandaran Temerloh,3.449566,102.41739299999995,Majlis Perbandaran Temerloh,"Majlis Perbandaran Temerloh Kompleks Pejabat Plaza Temerloh, Jalan Ahmad Shah, 28000 Temerloh Pahang DM.",609-2901477/777/778,609-2901664,aduan@mpt.gov.my,http://www.mpt.gov.my/,http://www.facebook.com/mptemerloh,,http://www.twitter.com/MPTEMERLOH,,,,
Majlis Pergigian Malaysia,2.94112,101.706386,Majlis Pergigian Malaysia,"Majlis Pergigian Malaysia E301, Level 3, Block 3440, Enterprise Building 1, Jalan Teknokrat 3, 63000 Cyberjaya, Selangor Malaysia",603-8318 6440,603-8318 6121,mdc@moh.gov.my,http://mdc.moh.gov.my,,,,,,,
Majlis Perkhidmatan Sosial Sabah,5.9737556,116.0862409,Majlis Perkhidmatan Sosial Sabah,"Rumah MPMS, Batu 2, Jalan Tuaran, 88300 KOTA KINABALU",88-221194/223424,088-211624,swc@ tm.net.my,http://www.sabah.org.my/scss/,,,,,,,
Majlis Persijilan Kayu Negara,3.162498,101.711905,Majlis Persijilan Kayu Negara,"Malaysian Timber Certification Council, C-08-05, Block C, Megan Avenue II, No. 12, Jalan Yap Kwan Seng, 50450 Kuala Lumpur, Malaysia.",03-2161 2298,03-2161 2293,info@mtcc.com.my,http://www.mtcc.com.my,,,,,,,
Majlis Perubatan Malaysia,3.147104,101.689646,Majlis Perubatan Malaysia,"Malaysian Medical Council, Block B,Ground Floor, Jalan Cenderasari 50590 Kuala Lumpur Malaysia",0322628480,0326912937,admin.mmc@moh.gov.my,http://mmc.gov.my,,,,,,,
Majlis Promosi Eksport Getah Malaysia,3.132626,101.68442,Majlis Promosi Eksport Getah Malaysia,"Block 2A, Level 13A-1 Plaza Sentral, Jalan Stesen Sentral 5 50470 Kuala Lumpur",0327805888,0327805088,info@mrepc.com; mpd@mrepc.com,http://www.mrepc.com,,,,,,,
Majlis Promosi Perabot Malaysia,3.159729,101.711007,Majlis Promosi Perabot Malaysia,"5th Floor Bangunan Getah Asli (Menara), 148 Jalan Ampang, 50450 Kuala Lumpur,",603-2171 1133,603-2171 1166,council@mfpc.com.my,http://www.mfpc.com.my,,,,,,,
Majlis Sukan Negara,3.0524,101.692773,Majlis Sukan Negara,National Sports Council of Malaysia National Sports Complex Sri Petaling 57000 Kuala Lumpur,0389929600,0389967708,webinfo@nsc.gov.my,http://www.nsc.gov.my/,,,,,,,
Majlis Sukan Negeri Johor,1.4234149,103.64983849999999,Majlis Sukan Negeri Johor,"Majlis Sukan Negeri, Aras 1, Bangunan Dato' Mohamad Ibrahim Munsyi, Kota Iskandar, 79603 Nusajaya, Johor",07-266 6244,07-266 6245,-,http://www.johordt.gov.my/msnj,,,,,,,
Majlis Sukan Negeri Melaka,2.2710416,102.289042,Majlis Sukan Negeri Melaka,"Majlis Sukan Negeri Melaka Aras 5, Wisma Negeri Jalan Wisma Negeri 75450 Ayer Keroh Melaka, Malaysia",606-232 3480,606-232 6637,roselina@melaka.gov.my,http://www.jbsmelaka.gov.my/,,,,,,,
Majlis Sukan Negeri Pahang,3.8192895,103.29232320000006,Majlis Sukan Negeri Pahang,"Kompleks SUKPA, Bandar Indera Mahkota 25200 Kuantan, Pahang Darul Makmur",609-573 5200,609-573 4091,support@msp.gov.my,http://www.msp.gov.my/,,,,,,,
Majlis Sukan Negeri Perak,4.6099836820855,101.1050074920654,Majlis Sukan Negeri Perak,"Aras 2, Wisma Majlis Sukan Negeri Perak, Lot 4438, Kompleks Sukan Bandaraya Ipoh, Jalan Ghazali Jawi, 31400 Ipoh, Perak",605-547 8885 / 3984,605-547 6885,-,http://msnperak.gov.my/,,,,,,,
Majlis Sukan Negeri Pulau Pinang,5.351601,100.30805699999996,Majlis Sukan Negeri Pulau Pinang,"Majlis Sukan Negeri Pulau Pinang Jalan Sultan Azlan Shah, Batu Uban, 11700 Gelugor, Pulau Pinang.",604-659 3713 / 659 3714 / 659 3715,604-659 5996,info.msnpp@gmail.com,http://msnpp.penang.gov.my,,,,,,,
Majlis Sukan Negeri Selangor,3.075382,101.537138,Majlis Sukan Negeri Selangor,"Aras 3, Carlton Hotel Holidays & Suites, No.1, Persiaran Akuatik, Jalan Aerobik 13/43, Seksyen 13, 40100 Shah Alam, Selangor Darul Ehsan, MALAYSIA.",603 - 5519 6380 / 5510 9063,603 - 5510 1377,admin@msnselangor.gov.my,http://www.msnselangor.gov.my/jmsn/,,,,,,,
Majlis Sukan Negeri Terengganu,5.368373,103.09672899999998,Majlis Sukan Negeri Terengganu,"Gerbang Sukan Negeri Terengganu, Jalan Lapangan Terbang, 21300 Kuala Terengganu, Terengganu",609 - 667 2577,609 - 667 2579,"",http://msn.terengganu.gov.my/,,,,,,,
Majlis Sukan Wilayah Persekutuan (WIPERS),2.928212,101.688552,Majlis Sukan Wilayah Persekutuan (WIPERS),"Majlis Sukan Wilayah Persekutuan, Kementerian Wilayah Persekutuan dan Kesejahteraan Bandar, Aras 2, Blok 1, Menara Seri Wilayah, Persint 2, 62100 PUTRAJAYA",603-88897888,603-88880375,wipers@kwpkb.gov.my,http://www.wipers.gov.my,,,,,,,
Majlis Tindakan Ekonomi Negara (MTEN),2.934876,101.695783,Majlis Tindakan Ekonomi Negara (MTEN),"Jabatan Perdana Menteri Level 2 Block B5 Federal Goverment Administrative Centre 62502 Putrajaya, Wilayah Persekutuan",603-8888 2903,603-8888 2902,-,http://www.jpm.gov.my/,,,,,,,
Majlis Tindakan Pelancongan Negeri Sembilan,2.7239834,101.94764520000001,Majlis Tindakan Pelancongan Negeri Sembilan,"Lot 1/4, Wisma Arab Malaysian, Jalan Tuanku Munawir, 70000 Seremban, Negeri Sembilan, MY",606-765 9734,606-765 3390,admin@nstourism.com.my,http://www.nstourism.com.my/,,,,,,,
Majlis Ugama Islam dan Adat resam Melayu Pahang,3.493581,103.383918,Majlis Ugama Islam dan Adat resam Melayu Pahang,"Majlis Ugama Islam Dan Adat Resam Melayu Pahang Kompleks Islam Sultan Haji Ahmad Shah, Jalan Istana Permai, 26600 Pekan, Pahang Darul Makmur.",609 - 4221311,609 - 4221885,info@muip.gov.my,http://www.muip.gov.my/,,,,,,,
Makmal Kesihatan Awam Ipoh,,,Makmal Kesihatan Awam Ipoh,"Makmal Kesihatan Awam Ipoh Jalan Jelapang, 30020 Ipoh, Perak Darul Ridzuan",05-5287 829,05-5287 836,"",http://los.moh.gov.my/mkaiv1,,,,,,,
Makmal Kesihatan Awam Kebangsaan,3.222937,101.571647,Makmal Kesihatan Awam Kebangsaan,"Makmal Kesihatan Awam Kebangsaan, Lot 1853 Kampung Melayu Sungai Buloh, Sungai Buloh, 47000 Selangor",603-61261200,603-61402249,-,http://mkak.moh.gov.my/,,,,,,,
Maktab Koperasi Malaysia,3.096178,101.64238,Maktab Koperasi Malaysia,"No 103, Jalan Templer,",0379649000,0379570434,mkm@mkm.edu.my,http://www.mkm.edu.my,http://www.facebohttp://www.facebook.com/pages/Maktab-Koperasi-Malaysia/261954543851955,,http://twitter.com/Maktab_Koperasi,,,http://www.google.com/reader/shared/user%2F13442679439231377757%2Flabel%2FRSS%202010,
Maktab Perguruan Teknik,2.742777,101.772172,Maktab Perguruan Teknik,"Kompleks Pendidikan Nilai, 71760 Bandar Enstek, Negeri Sembilan",06-797 9616,06-797 9699,"",http://www.ipteknik.edu.my/,,,,,,,
Malaysia Automotive Institute (MAI),,,Institut Automotif Malaysia (MAI),"Malaysia Automotive Institute Block 2280, Jalan Usahawan 2, Cyber 6, 63000 Cyberjaya, Selangor",03-83187742,03-83187743,info@mai.org.my,http://www.mai.org.my,http://fb.mai.org.my,,https://twitter.com/my_automotive,,,,http://www.youtube.com/MAIAUTOVIDEO
Malaysia My Second Home (MM2H),2.898156,101.668553,Malaysia My Second Home Programme,"MALAYSIA MY SECOND HOME CENTRE (MM2H) Ministry of Tourism Malaysia, Level 10, No. 2, Tower 1, Jalan P5/6, Presint 5, 62200 W.P. Putrajaya, MALAYSIA",0388917424,0388917415,info@mm2h.gov.my,http://www.mm2h.gov.my/,,,,,,,
Malaysian Green Technology Corporation,2.961427,101.75296900000001,Malaysian Green Technology Corporation,"Malaysian Green Technology Corporation No.2, Jalan 9/10 Persiaran Usahawan, Seksyen 9 43650 Bandar Baru Bangi Selangor Darul Ehsan",03-8921 0800,03-8921 0801,info@greentechmalaysia.my,http://www.greentechmalaysia.my/,,,,,,,
Malaysian Industrial Development Finance (MIDF),,,Malaysian Industrial Development Finance (MIDF),"Level 21, Menara MIDF 82, Jalan Raja Chulan 50200 Kuala Lumpur",0321738743,0321738733,sarful@midf.com.my,www.midf.com.my,MIDF Group,,,,,,
Malaysian Industry Government Group for High Technology (MIGHT),2.921457,101.655618,Malaysian Industry Government Group for High Technology (MIGHT),"Prime Minister's Department, 3517, Jalan Teknokrat 5, 63000 Cyberjaya, Selangor, Malaysia.",+603 8315 7888,+603 8312 0300,info@might.org.my,http://www.might.org.my,,,,,,,
Markas Angkatan Bersama (MKAB),3.173497,101.725145,Markas Angkatan Bersama (MKAB),"Jalan Padang Tembak, 50634 Kuala Lumpur MALAYSIA",603-2071 2935,603-2694 9805,ptp.mab@mod.gov.my,http://jointforce.mil.my,,,,,,,
Markas Angkatan Tentera Malaysia,3.175193,101.724803,Markas Angkatan Tentera Malaysia,"Wisma Pertahanan Jalan Padang Tembak, Wilayah Persekutuan Kuala Lumpur 50634 Malaysia",603-2692 1333,603-2692 2029,webmaster@mafhq.mil.my,http://www.mafhq.mil.my/,,,,,,http://maf.mod.gov.my/index.php?format=feed&type=rss&title=,
MIMOS Berhad,3.046111,101.697071,MIMOS Berhad,"Technology Park Malaysia, 57000 Kuala Lumpur, Malaysia.",603-8996 5000,603-89964658,info@mimos.my,http://www.mimos.my/,,,,,,,
Muzium Diraja Istana Besar Johor,1.455259,103.75639100000001,Muzium Diraja Istana Besar Johor,"Taman Istana, 80000 Johor Bahru, Johor, Malaysia",-,-,-,-,,,,,,,
Muzium Negara,3.138084,101.686716,Muzium Negara,"Muzium Negara Jabatan Muzium Malaysia Jalan Damansara 50566, Kuala Lumpur",0322671111,0322671011,prmuziumnegara@jmm.gov.my,http://www.muziumnegara.gov.my,,,,,,,
Parlimen Malaysia,3.14959,101.679225,Parlimen Malaysia,Parlimen Malaysia Bangunan Parlimen 50680 Kuala Lumpur.,0320721955,0320727436,info@parlimen.gov.my,http://www.parlimen.gov.my,,,,,,,
Pasukan Petugas Khas Pemudahcara Perniagaan(PEMUDAH),3.175005,101.673853,Pasukan Petugas Khas Pemudahcara Perniagaan(PEMUDAH),"Pejabat Sekretariat PEMUDAH, Kementerian Perdagangan Antarabangsa dan Industri, Tingkat 5, Blok 10, Kompleks Pejabat Kerajaan, Jalan Duta, 50622 Kuala Lumpur",0362000184,0362019459,bahria@miti.gov.my,http://www.pemudah.gov.my,,,,,,,
Pejabat Daerah Asajaya,1.541036,110.51438510000003,Pejabat Daerah Asajaya,"Pejabat Daerah Asajaya, 94600 Asajaya, Sarawak.",082-828 001,082-828 437,-,http://www.asajayado.sarawak.gov.my/,,,,,,,
Pejabat Daerah Baling,5.673300999999999,100.91827699999999,Pejabat Daerah Baling,"Pejabat Daerah Baling 09100 Baling, Kedah Darul Aman",04-4701172,04-4701963,pdb@kedah.gov.my,"",http://www.facebook.com/pages/Pejabat-Daerah-Baling/115390975201799?ref=ts,,http://twitter.com/#!/pdbaling,http://pejdaerahbaling.blogspot.com/,,http://webjabatan.kedah.gov.my/pdb/xml/rss.xml,http://www.youtube.com/PDBaling
Pejabat Daerah Bandar Baharu,5.209916,100.611087,Pejabat Daerah Bandar Baharu,"Pejabat Daerah Bandar baharu, 09800 Serdang, Kedah",04-4077963|,04-4079953,pdbb@kedah.gov.my,"",,,,,,http://webjabatan.kedah.gov.my/pdbb/xml/rss.xml,
Pejabat Daerah Bau,1.41797,110.16143209999996,Pejabat Daerah Bau,"Pejabat Daerah Bau, Jalan Penghulu Durin, 94000 Bau, Sarawak.",082-763 022,082-763 530,"",http://www.baudo.sarawak.gov.my/,,,,,,,
"Pejabat Daerah Beaufort, Sabah",5.3437112,115.74693339999999,"Pejabat Daerah Beaufort, Sabah","Tingkat 1, Bangunan Urusetia, 89807 Beaufort, Sabah.",087-201 208/09,087-211 519,Artini.Mohamad@sabah.gov.my,http://www.sabah.gov.my/pd.bft/,,,,,,,
Pejabat Daerah Belaga,2.658917,114.20838500000002,Pejabat Daerah Belaga,"Pejabat Daerah Belaga, 96900 Belaga, Sarawak.",086-461 315,086-461 435,webmaster@belagado.sarawak.gov.my,http://www.belagado.sarawak.gov.my/,,,,,,,
Pejabat Daerah Beluran,5.729563,117.440338,Pejabat Daerah Beluran,"Pejabat Daerah Beluran, Peti Surat No. 1, 90107 Beluran, Sabah.",089-511 212,089-511 255,-,http://www.sabah.gov.my/pd.blrn/,,,,,,,
Pejabat Daerah Betong,1.409851,111.53217900000004,Pejabat Daerah Betong,"Pejabat Daerah Betong, Jalan Pengarah Isek, 95700 Betong, Sarawak.",083-472 204,083-472 504,-,http://www.betongdo.sarawak.gov.my/,,,,,,,
Pejabat Daerah Bintulu,3.19057,113.09011090000001,Pejabat Daerah Bintulu,"Aras Bawah, Wisma Residen, Jalan Pisang Keling, Off Jalan Tun Razak, 97000 Bintulu, Sarawak.",086-331 896,086-338 441,leonarkg@sarawak.gov.my,http://www.bintuludo.sarawak.gov.my/,,,,,,,
Pejabat Daerah Dalat,2.427699,112.15482910000003,Pejabat Daerah Dalat,"Pejabat Daerah Dalat, 96300 Dalat, Bahagian Mukah, Sarawak.",084-864 219,084-864 435,josyd@sarawak.gov.my,http://www.dalatdo.sarawak.gov.my/,,,,,,,
Pejabat Daerah dan Tanah Alor Gajah,2.383074,102.21104100000002,Pejabat Daerah dan Tanah Alor Gajah,"Alor Gajah, 78000 Alor Gajah Melaka.",06 - 559 1203/1204,06 - 556 3488,infopdtag@melaka.gov.my,http://www.pdtag.gov.my/,,,,,,,
Pejabat Daerah dan Tanah Batu Gajah Negeri Perak,4.469316,101.03968800000007,Pejabat Daerah dan Tanah Batu Gajah Negeri Perak,"Pejabat Daerah Dan Tanah Kinta 31000 Batu Gajah, Perak",05-366 1963,05-366 5770,pdtkinta@perak.gov.my,http://pdtbatugajah.perak.gov.my,,,,,,,
Pejabat Daerah dan Tanah Bentong,3.524933,101.90973489999999,Pejabat Daerah dan Tanah Bentong,"Pejabat Daerah dan Tanah Bentong, Tingkat 1, Wisma Sri Bentong, 28700 Bentong, Pahang Darul Makmur.",09-220 1513,09-222 2044,-,http://pdtbentong.pahang.gov.my,,,,,,,
Pejabat Daerah dan Tanah Bera,3.2595438,102.52980279999997,Pejabat Daerah dan Tanah Bera,"Pejabat Daerah dan Tanah Bera, 28200 Bandar Bera, Pahang.",09-255 3109,09-255 3444,pdbera@pahang.gov.my,http://pdtbera.pahang.gov.my/,,,,,,,
Pejabat Daerah dan Tanah Besut,5.7944071,102.5640019,Pejabat Daerah dan Tanah Besut,"Pejabat Daerah dan Tanah Besut, 22200 Kampung Raja, Besut, Terengganu.",09-695 6326/6328,09-695 3379,ptbesut@terengganu.gov.my,http://pdtbesut.terengganu.gov.my/,,,,,,,
Pejabat Daerah dan Tanah Cameron Highlands,4.472241,101.380205,Pejabat Daerah dan Tanah Cameron Highlands,"Pejabat Daerah dan Tanah Cameron Highlands, 39000 Tanah Rata, Pahang Darul Makmur.",05-490 1700,05-490 1707,pdtch@pahang.gov.my,http://pdtchighlands.pahang.gov.my/,,,,,,,
"Pejabat Daerah dan Tanah Daerah Barat Daya, Pulau Pinang",5.351203,100.233816,"Pejabat Daerah dan Tanah Daerah Barat Daya, Pulau Pinang","South West Land & District Office, 11000 Balik Pulau, Pulau Pinang.",04-869 1105,04-866 1593,pdtdbd.penang.gov.my,http://dbd.penang.gov.my/index.php/en/,,,,,,,
"Pejabat Daerah dan Tanah Daerah Seberang Perai Selatan, Pulau Pinang",5.213254000000001,100.49312800000007,"Pejabat Daerah dan Tanah Daerah Seberang Perai Selatan, Pulau Pinang","Southern Seberang Perai Selatan District & Land Office, 14200 Jawi, Penang.",04-582 4511,04-582 1003,pdtsps@penang.gov.my,http://sps.penang.gov.my/index.php/en/,,,,,,,
"Pejabat Daerah dan Tanah Daerah Seberang Perai Tengah, Pulau Pinang",5.364007,100.45463199999995,"Pejabat Daerah dan Tanah Daerah Seberang Perai Tengah, Pulau Pinang","Pejabat Daerah Dan Tanah Seberang Perai Tengah, Jalan Betik, Sungai Rambai, 14000 Bukit Mertajam, Pulau Pinang.",04-540 2360,04-539 9549,pdtspt@penang.gov.my,http://spt.penang.gov.my/index.php/en/,,,,,,,
"Pejabat Daerah Dan Tanah Daerah Seberang Perai Utara, Pulau Pinang",5.512033,100.43687399999999,"Pejabat Daerah Dan Tanah Daerah Seberang Perai Utara, Pulau Pinang","Pejabat Daerah dan Tanah SPU Bertam, Kepala Batas, 13200 Seberang Perai Utara, Pulau Pinang",604-577 6500,604-575 8969,spu@penang.gov.my,http://spu.penang.gov.my/index.php?lang=en,,,,,,,
"Pejabat Daerah dan Tanah Daerah Timur Laut, Pulau Pinang",5.4142008,100.32961690000002,"Pejabat Daerah dan Tanah Daerah Timur Laut, Pulau Pinang","North East Penang Land And District Office Level 50 & 51 KOMTAR, 10000 PENANG",604-650 5523,604-261 6137,pdtdtl@penang.gov.my,http://dtl.penang.gov.my/index.php/en/,,,,,,,
Pejabat Daerah dan Tanah Dungun,4.765857,103.41864899999996,Pejabat Daerah dan Tanah Dungun,"Jalan Yahya Ahmad, 23000 Dungun, Terengganu Darul Iman.",609-848 1616 / 17,609-84 52217/84594,ptd@terengganu.gov.my / pddungun@terengganu.gov.my,http://pddungun.terengganu.gov.my/,,,,,,,
Pejabat Daerah Dan Tanah Gerik Negeri Perak,5.437869999999999,101.13981590000003,Pejabat Daerah Dan Tanah Gerik Negeri Perak,"Jalan Sultan Yussuf,33300, Gerik, Perak Darul Ridzuan.",05-7911963,05-7921049,abdulhamid@perak.gov.my,http://pdtgerik.perak.gov.my,,,,,,,
Pejabat Daerah dan Tanah Gombak,3.2357771,101.69214,Pejabat Daerah dan Tanah Gombak,"Pejabat Daerah Dan Tanah Gombak Bangunan Sultan Sulaiman, Persiaran Pegawai, 68100 Batu Caves, Selangor",603 - 6131 1018 / 60,603 - 6136 1073,gombak@selangor.gov.my,http://www.selangor.gov.my/gombak/main.php,,,,,,,
Pejabat Daerah dan Tanah Hulu Langat,2.961427,101.75296900000001,Pejabat Daerah dan Tanah Hulu Langat,"Pejabat Daerah dan Tanah Hulu Langat, Kompleks Pentadbiran Daerah, Seksyen 9, Jalan Bukit Kerajaan, 43650 Bandar Baru Bangi, Selangor",603 - 8925 1992,603 - 8925 2137,hlangat@selangor.gov.my,http://www.selangor.gov.my/hululangat/main.php,,,,,,,
Pejabat Daerah dan Tanah Hulu Selangor,3.568222,101.65403200000003,Pejabat Daerah dan Tanah Hulu Selangor,"Pejabat Daerah / Tanah Hulu Selangor, Jalan Bukit Kerajaan, 44000 Kuala Kubu Bharu, Selangor Darul Ehsan.",603 - 6064 1026 / 30,03-6064 4253/1160,pdhs@selangor.gov.my,http://www.selangor.gov.my/huluselangor.php,https://www.facebook.com/pdt.huluselangor.5,,https://twitter.com/pdths,http://pdths.blogspot.com/,,,
Pejabat Daerah Dan Tanah Hulu Terengganu,5.07412,103.01490230000002,Pejabat Daerah Dan Tanah Hulu Terengganu,"Pejabat Daerah HuluTerengganu, 21700 Kuala Berang, Hulu Terengganu, Terengganu.",09-681 1211/1244,09-681 1964/2411,pdht@terengganu.gov.my / ptht@terengganu.gov.my,http://pdtht.terengganu.gov.my/,,,,,,,
Pejabat Daerah Dan Tanah Ipoh Negeri Perak,4.623645,101.06787600000007,Pejabat Daerah Dan Tanah Ipoh Negeri Perak,"Kompleks Pejabat Daerah Dan Tanah Kinta, Ipoh. Gugusan Manjoi, Kampung Sungai Tapah, 30020 Ipoh. Perak Darul Ridzuan.",05-5275875,05-5275706,azlanharun@perak.gov.my,http://pdtipoh.perak.gov.my,,,,,,,
Pejabat Daerah dan Tanah Jasin,2.305926,102.42266700000005,Pejabat Daerah dan Tanah Jasin,"Pejabat Daerah Dan Tanah Jasin 77000, Jasin Melaka",06 333 3333,06 529 3396,infopdtjasin@melaka.gov.my,http://www.pdtjasin.gov.my/,https://www.facebook.com/pejabatdaerahtanah.jasin,,,,,,
Pejabat Daerah dan Tanah Jelebu,2.949654,102.085292,Pejabat Daerah dan Tanah Jelebu,"Kompleks Pentadbiran Jabatan Kerajaan ,76000 Kuala Klawang, Negeri Sembilan., Malaysia",606-613 6311,606-613 6528,pentadbiranjelebu@ns.gov.my,http://jelebu.ns.gov.my,,,,,,,
Pejabat Daerah dan Tanah Jempol,2.903148,102.420812,Pejabat Daerah dan Tanah Jempol,"Pejabat Daerah Dan Tanah Jempol, Kompleks Pentadbiran Daerah, 72120 Bandar Seri Jempol, Negeri Sembilan Darul Khusus.",06-458 5200,06-458 1242,pdtjempol@ns.gov.my,http://pdtjempol.ns.gov.my/,,,,,,,
Pejabat Daerah dan Tanah Jerantut,3.946838,102.37988089999999,Pejabat Daerah dan Tanah Jerantut,"Pejabat Daerah dan Tanah Jerantut, Kompleks Pejabat-Pejabat Kerajaan, 27000 Jerantut, Pahang Darul Makmur.",09-266 3511,09-266 5513,pdjrt@pahang.gov.my,http://pdtjerantut.pahang.gov.my/,,,,,,,
Pejabat Daerah Dan Tanah Kampar Negeri Perak,4.311012,101.15187190000006,Pejabat Daerah Dan Tanah Kampar Negeri Perak,"Unit Teknologi Maklumat Pejabat Daerah Dan Tanah Kampar, 31900 kampar, Perak Darul Ridzuan.",05-456 1963,05-466 4307,aduanpdtk@yahoo.com,http://pdtkampar.perak.gov.my,,,,,,,
Pejabat Daerah Dan Tanah Kampung Gajah Negeri Perak,4.469316,101.03968800000007,Pejabat Daerah Dan Tanah Kampung Gajah Negeri Perak,"Kompleks Pentadbiran Daerah, 36800 Kg. Gajah, Perak Darul Ridzuan.",05-631 1244,05-631 1863,mohdamli@perak.gov.my,http://pdtkampunggajah.perak.gov.my,,,,,,,
Pejabat Daerah Dan Tanah Kemaman,4.360889999999999,103.26634790000003,Pejabat Daerah Dan Tanah Kemaman,"Pejabat Daerah Dan Tanah Kemaman, Kompleks Pejabat-Pejabat Kerajaan, Jalan Sentosa, 24000 Kemaman, Terengganu.",09-859 1616,09-859 4401,pdkemaman@terengganu.gov.my / ptkemaman@terengganu.gov.my,http://pdtkemaman.terengganu.gov.my/,,,,,,,
Pejabat Daerah dan Tanah Kerian Negeri Perak,5.10537,100.48539200000005,Pejabat Daerah dan Tanah Kerian Negeri Perak,"Pejabat Daerah dan Tanah Kerian, 34200 Parit Buntar, Perak.",05-716 1963,05-716 2399,pdtkerian@perak.gov.my,http://pdtkerian.perak.gov.my,,,,,,,
Pejabat Daerah dan Tanah Klang,3.043061,101.44065709999995,Pejabat Daerah dan Tanah Klang,"Pejabat Daerah /Tanah Klang, Jalan Kota, 41902 Klang, Selangor Darul Ehsan.",03-3371 1963,03-3372 3079,klang@selangor.gov.my,http://www.selangor.gov.my/klang/,,,,,,,
Pejabat Daerah dan Tanah Kuala Kangsar Negeri Perak,4.772697,100.94030709999993,Pejabat Daerah dan Tanah Kuala Kangsar Negeri Perak,"Pejabat Daerah & Tanah Kuala Kangsar, 33000 Kuala Kangsar, Perak.",05-776 1055,05-776 4441,-,http://pdtkualakangsar.perak.gov.my,,,,,,,
Pejabat Daerah dan Tanah Kuala Langat,2.8388413,101.57028130000003,Pejabat Daerah dan Tanah Kuala Langat,"Kompleks Pejabat Daerah/Tanah Kuala Langat, Persiaran Sultan Abdul Aziz Shah, Kota Seri Langat (Sungai Sedu), 42700 Banting, Selangor Darul Ehsan",03-3182 2555,03-3187 2011,klangat@selangor.gov.my,http://www.selangor.gov.my/kualalangat/,,,,,,,
Pejabat Daerah dan Tanah Kuala Pilah,2.870698,102.254775,Pejabat Daerah dan Tanah Kuala Pilah,"Pejabat Daerah dan Tanah Kuala Pilah, Kompleks Pejabat-Pejabat Kerajaan Daerah, 72000 Kuala Pilah, Negeri Sembilan Darul Khusus",606-481 4155 / 606-481 4155,606-481 5511,pdtkp@ns.gov.my,http://pilah.ns.gov.my/,,,,,,,
Pejabat Daerah dan Tanah Kuala Selangor,3.33322,101.253795,Pejabat Daerah dan Tanah Kuala Selangor,"Pejabat Daerah/Tanah Kuala Selangor, Kompleks Pejabat Kerajaan Daerah Kuala Selangor, 45000 Kuala Selangor, Selangor.",03-3289 1010,03-3289 2145,ksel@selangor.gov.my,http://kualaselangor.selangor.gov.my/,,,,,,,
Pejabat Daerah dan Tanah Kuala Terengganu,5.311493,103.13468699999999,Pejabat Daerah dan Tanah Kuala Terengganu,"Pejabat Daerah Dan Tanah Kuala Terengganu, Kompleks Sri Iman, Jalan Sultan Mohamad, 20692 Kuala Terengganu, Terengganu.",09-6222966,09-6226127,ptkt@terengganu.gov.my,http://pdtkt.terengganu.gov.my/,,,,,,,
Pejabat Daerah dan Tanah Kuantan,3.8192895,103.29232320000006,Pejabat Daerah dan Tanah Kuantan,"Bangunan Pejabat Daerah Dan Tanah Kuantan, Bandar Indera Mahkota, 25990 Kuantan, Pahang.",09-571 2400,09-571 2500,webmpdtktn@pahang.gov.my,http://pdtkuantan.pahang.gov.my/,,,,,,,
